语料ID,语料,人工领域,人工意图,人工领域ID,人工意图ID,人工标注,人工槽位,匹配模式,平台领域,平台意图,平台领域ID,平台意图ID,平台标注,平台槽位,Domain Score,Intent Score,Pattern Score,GUID
1363673959990484992,今天徐州天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>今天</datetime><location>徐州</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""徐州"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>今天</datetime><location>徐州</location>天气,"[{""origin_value"": ""今天"", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""徐州"", ""origin_offset"": 2, ""value"": ""徐州"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8966667056083679,11576_auto_test_aie_bvt_guid_02b3b31022ef4ce0932fefabe858e9ce
1363673959751409664,乳山市天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>乳山市</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""乳山市"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,乳山市天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_47dfe4966e2e4943abbedaac7c759000
1363673959650746368,运城的天气状况,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>运城</location>的天气状况,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""运城"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,运城的天气状况,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_bfc2c107496d44818aae8ba0abd80204
1363673959457808384,今天天气怎样深圳,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>今天</datetime>天气怎样<location>深圳</location>,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 6, ""value"": ""深圳"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,今天天气怎样深圳,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_acf6a51047b24f9e92bb278c2d9415a8
1363673959361339392,锦州的天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>锦州</location>的天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""锦州"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,锦州的天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_316a58fa031244a68373e137ccb2d5fb
1363673959113875456,明天安福的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>明天</datetime><location>安福</location>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""安福"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,明天安福的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_d16d8c117ee24154a0167767f2a3970e
1363673958992240640,慈溪的天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>慈溪</location>的天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""慈溪"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,慈溪的天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_f45b9ea3d29e45d7ae350046b65c9810
1363673958837051392,资阳明天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>资阳</location><datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""资阳"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,资阳明天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_b151b466d2fd4950ae4fbfd6c2afdd03
1363673958660890624,济南今天的天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>济南</location><datetime>今天</datetime>的天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""济南"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>济南</location><datetime>今天</datetime>的天气预报,"[{""origin_value"": ""今天"", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""济南"", ""origin_offset"": 0, ""value"": ""济南"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9311110973358154,11576_auto_test_aie_bvt_guid_aaf8bce9bffc469590bf8e7df4c50527
1363673958484729856,帮我查一下天气呗,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,帮我查一下天气呗,[],,other_failed,other_failed,-1,-1,帮我查一下天气呗,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_c1e62812733f4432b346b24c67bce22c
